Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chest,0.0642793409289425,-0.0370112812881071,-0.0256401248001077,0,0,0,0.517959592655815,0.000577098969825151,-1.33752337558957E-07,-9.15363866953495E-09,0.00059415285358001,-6.8845468997084E-06,0.000860396819511756,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/chest.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/chest.STL,,chest-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck,-0.000463690787653626,0.00902012394205838,-3.10387747032292E-08,0,0,0,0.00540057464642989,6.49119476238174E-07,9.10850710578314E-09,2.97126354556793E-12,1.6482065219594E-06,3.32011171764253E-13,1.85482574782931E-06,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/neck.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/neck.STL,,neck-1,Origin_neckturn,Axis_neckturn,neckturn,revolute,0.064282,0.014336,0.043892,1.5708,0,0,chest,0,1,0,0,0,-0.87266,0.87266,,,,,,,,
head,0.000803480124172182,0.0534510885341688,-0.0036143021027961,0,0,0,0.496658763776637,0.0010287563957024,-8.67862818613214E-09,2.09572066323061E-07,0.00203886300157394,-1.09198580315923E-05,0.00164695377435873,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/head.STL,,head-1,Origin_headnod,Axis_headnod,headnod,revolute,0,0.02,0,0,0,0,neck,1,0,0,0,0,-0.17453,0.17453,,,,,,,,
shoulder_left,0.036702135253922,-0.000181870664772608,0.00194083539475779,0,0,0,0.11165520855183,3.26341545652402E-05,1.00030741771672E-07,-1.08634533039376E-07,4.28556042109112E-05,-2.7629793861766E-07,3.92138045604685E-05,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/shoulder_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/shoulder_left.STL,,shoulder_left-1,Origin_shoulderspin_left,Axis_shoulderspin_left,shoulderspin_left,revolute,0.15378,0.0096761,-0.0058081,1.5708,0,0,chest,1,0,0,0,0,-3.1416,0.7854,,,,,,,,
bicep_left,-0.000120898844433004,-0.0767947667002765,0.00460157339160713,0,0,0,0.145739770828731,7.04776795612585E-05,-5.59630806175744E-08,5.66191302191004E-09,3.48834492828899E-05,2.73140489027361E-06,8.67056713359699E-05,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/bicep_left.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/bicep_left.STL,,bicep_left-1,Origin_biceplift_left,Axis_biceplift_left,biceplift_left,revolute,0.055491,0.00011,0,0,0,0,shoulder_left,0,0,1,0,0,-1.9199,0,,,,,,,,
elbow_left,-0.00101195348390964,-0.0390367081909198,-0.0109934774651598,0,0,0,0.0696997574554248,2.39361627172391E-05,-3.5131382857211E-07,-5.2489315655565E-08,1.53465441420604E-05,-1.14911302964384E-06,1.36573095632137E-05,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/elbow_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/elbow_left.STL,,elbow_left-1,Origin_elbow_left,Axis_elbow_left,elbow_left,revolute,0,-0.1033,0.0065,0,0,0,bicep_left,1,0,0,0,0,0,1.5708,,,,,,,,
forearm_left,0.000433912797081076,-0.0311473036318238,4.08044721956526E-06,0,0,0,0.0358643400809929,6.71245982600968E-06,-1.00968028341704E-07,1.80908590024734E-12,4.50563090197367E-06,5.97773551551173E-10,7.59655047194625E-06,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/forearm_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/forearm_left.STL,,forearm_left-1,Origin_wristspin_left,Axis_wristspin_left,wristspin_left,revolute,0,-0.06238,0,0,0,0,elbow_left,0,1,0,0,0,-1.5708,1.5708,,,,,,,,
hand_left,0.00109032195070444,-0.0678977111646605,-0.00117614022404038,0,0,0,0.109497135710607,2.83983780296706E-05,-1.42228890197939E-06,1.30763626754733E-08,2.37603477225452E-05,-1.47516258411142E-06,2.80325661824611E-05,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/hand_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/hand_left.STL,,hand_left-3,Origin_handcurl_left,Axis_handcurl_left,handcurl_left,revolute,0,-0.0479,0,0,0,0,forearm_left,1,0,0,0,0,-0.17453,1.1345,,,,,,,,
gripper_left,-0.00638782211981948,-0.0197883740351979,-0.011078968506845,0,0,0,0.00510904165131481,2.70406157052312E-06,-2.5463451176325E-07,8.4419750797172E-09,1.77868259913855E-06,-2.34312427679617E-07,1.17285411365298E-06,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/gripper_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/gripper_left.STL,,gripper_left-2,Origin_gripper_left,Axis_gripper_left,gripper_left,revolute,0.0006381,-0.11159,-0.0015564,0.076707,0,0,hand_left,0,0.062719,0.99803,0,0,0,0,,,,,,,,
shoulder_right,-0.0367867048688758,-0.000266584850597349,0.00145740866209887,0,0,0,0.111655209278659,3.26341547019089E-05,-1.00149634268116E-07,3.53611684818867E-07,4.28556042638667E-05,2.76297898895795E-07,3.92138047350205E-05,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/shoulder_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UpdatedBalancing_URDF/meshes/shoulder_right.STL,,shoulder_right-1,Origin_shoulderspin_right,Axis_shoulderspin_right,shoulderspin_right,revolute,-0.025217,0.0096761,-0.0058081,1.5708,0,0,chest,1,0,0,0,0,-3.1416,0.7854,,,,,,,,
