Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chest,0.064279340928357,0.0256401248001064,-0.0370112812883026,0,0,0,0.517959592652202,0.000577098969825105,9.15363875955298E-09,-1.33752337768399E-07,0.000860396819510558,6.88454689969221E-06,0.000594152853578843,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/chest.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/chest.STL,,chest-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck,-0.00046369,0.0090201,-3.1039E-08,0,0,0,0.0054006,6.4912E-07,9.1085E-09,2.9713E-12,1.6482E-06,3.3201E-13,1.8548E-06,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/neck.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/neck.STL,,neck-1,Origin_neckturn,Axis_neckturn,neckturn,revolute,0.064282,0.014336,0.043892,1.5708,0,0,chest,0,1,0,0,0,-0.87266,0.87266,,,,,,,,
head,0.000803480124172112,0.0534510885341687,-0.00361430210279609,0,0,0,0.496658763776637,0.0010287563957024,-8.67862818628618E-09,2.09572066323191E-07,0.00203886300157394,-1.09198580315922E-05,0.00164695377435873,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/head.STL,,head-1,Origin_headnod,Axis_headnod,headnod,revolute,0,0.02,0,0,0,0,neck,1,0,0,0,0,-0.17453,0.17453,,,,,,,,
shoulder_left,0.036702135253922,-0.000181870664772605,0.00194083539475779,0,0,0,0.11165520855183,3.26341545652402E-05,1.00030741771673E-07,-1.08634533039377E-07,4.28556042109112E-05,-2.76297938617664E-07,3.92138045604685E-05,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/shoulder_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/shoulder_left.STL,,shoulder_left-1,Origin_shoulderspin_left,Axis_shoulderspin_left,shoulderspin_left,revolute,0.15378,0.0096761,-0.0058081,1.5708,0,0,chest,1,0,0,0,0,-3.1416,0.7854,,,,,,,,
bicep_left,-0.000120898844433059,-0.0767947667002765,0.00460157339160713,0,0,0,0.145739770828731,7.04776795612585E-05,-5.59630806175742E-08,5.6619130219104E-09,3.48834492828899E-05,2.73140489027361E-06,8.670567133597E-05,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/bicep_left.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/bicep_left.STL,,bicep_left-1,Origin_biceplift_left,Axis_biceplift_left,biceplift_left,revolute,0.055491,0.00011,0,0,0,0,shoulder_left,0,0,1,0,0,-1.9199,0,,,,,,,,
elbow_left,-0.00101195348391553,-0.0390367081909189,-0.0109934774651699,0,0,0,0.0696997574553724,2.39361627172128E-05,-3.5131382856957E-07,-5.24893156498165E-08,1.53465441420451E-05,-1.14911302963822E-06,1.36573095631975E-05,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/elbow_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/elbow_left.STL,,elbow_left-1,Origin_elbow_left,Axis_elbow_left,elbow_left,revolute,0,-0.1033,0.0065,0,0,0,bicep_left,1,0,0,0,0,0,1.5708,,,,,,,,
forearm_left,0.000433912797081104,-0.0311473036318238,4.08044721956569E-06,0,0,0,0.0358643400809929,6.71245982600968E-06,-1.00968028341704E-07,1.80908590031232E-12,4.50563090197367E-06,5.97773551551199E-10,7.59655047194625E-06,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/forearm_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/forearm_left.STL,,forearm_left-1,Origin_wristspin_left,Axis_wristspin_left,wristspin_left,revolute,0,-0.06238,0,0,0,0,elbow_left,0,1,0,0,0,-1.5708,1.5708,,,,,,,,
hand_left,0.00109032195070444,-0.0678977111646605,-0.00117614022404038,0,0,0,0.109497135710607,2.83983780296706E-05,-1.42228890197939E-06,1.30763626754735E-08,2.37603477225452E-05,-1.47516258411142E-06,2.80325661824611E-05,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/hand_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/hand_left.STL,,hand_left-3,Origin_handcurl_left,Axis_handcurl_left,handcurl_left,revolute,0,-0.0479,0,0,0,0,forearm_left,1,0,0,0,0,-0.17453,1.1345,,,,,,,,
gripper_left,-0.0063878221198195,-0.0197883740351979,-0.0110789685068451,0,0,0,0.00510904165131482,2.70406157052313E-06,-2.5463451176325E-07,8.44197507971721E-09,1.77868259913855E-06,-2.34312427679619E-07,1.17285411365298E-06,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/gripper_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/gripper_left.STL,,gripper_left-2,Origin_gripper_left,Axis_gripper_left,gripper_left,revolute,0.0006381,-0.11159,-0.0015564,0.076707,0,0,hand_left,0,0.062719,0.99803,0,0,0,0,,,,,,,,
shoulder_right,-0.0367867048688758,-0.000266584850597348,0.00145740866209887,0,0,0,0.111655209278659,3.26341547019089E-05,-1.00149634268118E-07,3.53611684818865E-07,4.28556042638667E-05,2.76297898895794E-07,3.92138047350205E-05,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/shoulder_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_URDF_fixmesh/meshes/shoulder_right.STL,,shoulder_right-1,Origin_shoulderspin_right,Axis_shoulderspin_right,shoulderspin_right,revolute,-0.025217,0.0096761,-0.0058081,1.5708,0,0,chest,1,0,0,0,0,-3.1416,0.7854,,,,,,,,
