Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chest,-6.5907E-07,0.00036012,0.0012587,0,0,0,0.51796,0.0005771,9.1536E-09,-1.3375E-07,0.0008604,6.8845E-06,0.00059415,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/chest.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/chest.STL,,chest-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck,-0.00046369,0.0090201,-3.1039E-08,0,0,0,0.0054006,6.4912E-07,9.1085E-09,2.9713E-12,1.6482E-06,3.3201E-13,1.8548E-06,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/neck.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/neck.STL,,neck-1,Origin_neck_turn,Axis_neck_turn,neck_turn,revolute,0,-0.010944,0.082162,1.5708,0,0,chest,0,1,0,0,0,0,0,,,,,,,,
head,0.000803480123882816,0.0534510885362027,-0.00361430210173794,0,0,0,0.4966587637943,0.00102875639570257,-8.67862819987914E-09,2.09572066314901E-07,0.00203886300157413,-1.09198580315458E-05,0.00164695377435874,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/head.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/head.STL,,head-1,Origin_head_nod,Axis_head_nod,head_nod,revolute,0,0.02,0,0,0,0,neck,1,0,0,0,0,0,0,,,,,,,,
shoulder_left,0.036702,-0.00018187,0.0019408,0,0,0,0.11166,3.2634E-05,1.0003E-07,-1.0863E-07,4.2856E-05,-2.763E-07,3.9214E-05,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/shoulder_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/shoulder_left.STL,,shoulder_left-1,Origin_shoulderspin_left,Axis_shoulderspin_left,shoulderspin_left,revolute,0.089501,-0.015604,0.032462,1.5708,0,0,chest,1,0,0,0,0,0,0,,,,,,,,
bicep_left,-0.000120898844433059,-0.0767947667002765,0.00460157339160713,0,0,0,0.145739770828731,7.04776795612585E-05,-5.59630806175732E-08,5.66191302191022E-09,3.48834492828899E-05,2.73140489027361E-06,8.67056713359699E-05,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/bicep_left.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/bicep_left.STL,,bicep_left-1,Origin_armlift_left,Axis_armlift_left,armlift_left,revolute,0.055491,0.00011,0,0,0,0,shoulder_left,0,0,1,0,0,0,0,,,,,,,,
elbow_left,-0.00552081543694341,-0.0390367081909189,-0.0109934774651699,0,0,0,0.0696997574553724,2.39361627172128E-05,-3.5131382856957E-07,-5.24893156498167E-08,1.53465441420451E-05,-1.14911302963822E-06,1.36573095631975E-05,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/elbow_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/elbow_left.STL,,elbow_left-1,Origin_elbowcurl_left,Axis_elbowcurl_left,elbowcurl_left,revolute,0.0045089,-0.1033,0.0065,0,0,0,bicep_left,1,0,0,0,0,0,0,,,,,,,,
forearm_left,0.000433912797094455,-0.0311473036318524,4.08044720808442E-06,0,0,0,0.0358643400810453,6.712459826025E-06,-1.00968028336087E-07,1.80908844039553E-12,4.50563090198978E-06,5.97773545802844E-10,7.59655047197248E-06,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/forearm_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/forearm_left.STL,,forearm_left-1,Origin_handspin_left,Axis_handspin_left,handspin_left,revolute,-0.0045089,-0.06238,0,0,0,0,elbow_left,0,1,0,0,0,0,0,,,,,,,,
hand_left,0.00109032195070818,-0.0678977111646608,-0.00117614022404189,0,0,0,0.109497135710607,2.83983780296705E-05,-1.42228890197939E-06,1.30763626754737E-08,2.37603477225452E-05,-1.47516258411142E-06,2.80325661824611E-05,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/hand_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/hand_left.STL,,hand_left-3,Origin_wristcurl_left,Axis_wristcurl_left,wristcurl_left,revolute,0,-0.0479,0,0,0,0,forearm_left,1,0,0,0,0,0,0,,,,,,,,
gripper_left,-0.00638782211981948,-0.019788374035198,-0.0110789685068465,0,0,0,0.00510904165131481,2.70406157052312E-06,-2.5463451176325E-07,8.4419750797171E-09,1.77868259913855E-06,-2.34312427679618E-07,1.17285411365298E-06,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/gripper_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/gripper_left.STL,,gripper_left-2,Origin_gripper_left,Axis_gripper_left,gripper_left,revolute,0.0006381,-0.11159,-0.0015564,0.076707,0,0,hand_left,0,0.062719,0.99803,0,0,0,0,,,,,,,,
shoulder_right,-0.0367867048688758,-0.000266584850597346,0.00145740866209888,0,0,0,0.111655209278659,3.26341547019089E-05,-1.00149634268116E-07,3.53611684818865E-07,4.28556042638667E-05,2.76297898895794E-07,3.92138047350205E-05,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/shoulder_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/shoulder_right.STL,,shoulder_right-1,Origin_shoulderspin_right,Axis_shoulderspin_right,shoulderspin_right,revolute,-0.089497,-0.015604,0.032462,1.5708,0,0,chest,1,0,0,0,0,0,0,,,,,,,,
bicep_right,0.000120840050215801,-0.0767949641379226,0.00444226354427807,0,0,0,0.145739112705213,7.0476807793333E-05,5.61714009935357E-08,-5.73424715931236E-09,3.48834328932938E-05,2.73128855492095E-06,8.67046405929377E-05,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/bicep_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/bicep_right.STL,,bicep_right-1,Origin_armlift_right,Axis_armlift_right,armlift_right,revolute,-0.055601,0,0,0,0,0,shoulder_right,0,0,1,0,0,0,0,,,,,,,,
elbow_right,0.00101158384201447,-0.0390365429562165,-0.0109932153031413,0,0,0,0.0697003946438699,2.39361976751456E-05,3.51399398173786E-07,5.25574526488749E-08,1.53466417627746E-05,-1.14914807694618E-06,1.36572035667433E-05,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/elbow_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Balancing_Chess_URDF/meshes/elbow_right.STL,,elbow_right-1,Origin_elbowcurl_right,Axis_elbowcurl_right,elbowcurl_right,revolute,0,-0.1033,0.0063,0,0,0,bicep_right,1,0,0,0,0,0,0,,,,,,,,
